# BEGIN PLOT
Legend=1
LogY=1
Title=Cross section as a function of $x_{obs}^{\gamma}$ for $25 \leq \mathrm{M}_{3j} \leq 50$ GeV
XLabel=$x_{obs}^{\gamma}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}x_{obs}^{\gamma}$(pb)
DrawOnly=/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d03-x01-y01
LegendOnly=/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d03-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d03-x01-y01
RatioPlot=1
RatioPlotReference=/ZEUS_2007_I756660/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /ZEUS_2007_I756660/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ZEUS_2007_I756660/d03-x01-y01
PolyMarker=*
Title=ZEUS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.100000e-01	1.090000e+02	6.179806e+01	7.325299e+01
1.100000e-01	2.200000e-01	1.449000e+03	4.344215e+02	4.419299e+02
2.200000e-01	3.300000e-01	2.102000e+03	4.283060e+02	4.337580e+02
3.300000e-01	4.700000e-01	1.989000e+03	3.155852e+02	3.190878e+02
4.700000e-01	6.200000e-01	1.774000e+03	2.535922e+02	2.618950e+02
6.200000e-01	7.500000e-01	1.752000e+03	2.226455e+02	2.302064e+02
7.500000e-01	8.500000e-01	2.579000e+03	3.134103e+02	3.255549e+02
8.500000e-01	9.350000e-01	3.803000e+03	6.420319e+02	7.097810e+02
9.350000e-01	1.000000e+00	7.300000e+02	1.956119e+02	2.045409e+02
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d03-x01-y01
ScaledBy=6.78500016577271853e-02
Title=LHC/POWER
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.100000e-01	8.666172e+02	2.476245e+01	2.476245e+01
1.100000e-01	2.200000e-01	1.282504e+04	9.591555e+01	9.591555e+01
2.200000e-01	3.300000e-01	1.665704e+04	1.092410e+02	1.092410e+02
3.300000e-01	4.700000e-01	1.148459e+04	8.034749e+01	8.034749e+01
4.700000e-01	6.200000e-01	6.029397e+03	5.637730e+01	5.637730e+01
6.200000e-01	7.500000e-01	3.471662e+03	4.587134e+01	4.587134e+01
7.500000e-01	8.500000e-01	3.565123e+03	5.275198e+01	5.275198e+01
8.500000e-01	9.350000e-01	3.701321e+03	5.833380e+01	5.833380e+01
9.350000e-01	1.000000e+00	1.175855e+03	3.760255e+01	3.760255e+01
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d03-x01-y01
LineColor=blue
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d03-x01-y01
ScaledBy=6.78534754945669949e-02
Title=LHC/LOG
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.100000e-01	8.030500e+01	7.593189e+00	7.593189e+00
1.100000e-01	2.200000e-01	1.254809e+03	3.017363e+01	3.017363e+01
2.200000e-01	3.300000e-01	1.891283e+03	3.693262e+01	3.693262e+01
3.300000e-01	4.700000e-01	1.743266e+03	3.135325e+01	3.135325e+01
4.700000e-01	6.200000e-01	1.519434e+03	2.810464e+01	2.810464e+01
6.200000e-01	7.500000e-01	1.835972e+03	3.336450e+01	3.336450e+01
7.500000e-01	8.500000e-01	3.071987e+03	4.922897e+01	4.922897e+01
8.500000e-01	9.350000e-01	3.607354e+03	5.757173e+01	5.757173e+01
9.350000e-01	1.000000e+00	1.261851e+03	3.923534e+01	3.923534e+01
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d03-x01-y01
LineColor=green
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d03-x01-y01
ScaledBy=6.78434119671345454e-02
Title=LEP/POWER
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.100000e-01	2.332235e+01	4.031095e+00	4.031095e+00
1.100000e-01	2.200000e-01	4.122817e+02	1.709404e+01	1.709404e+01
2.200000e-01	3.300000e-01	8.529641e+02	2.456411e+01	2.456411e+01
3.300000e-01	4.700000e-01	9.858443e+02	2.351172e+01	2.351172e+01
4.700000e-01	6.200000e-01	1.099001e+03	2.389269e+01	2.389269e+01
6.200000e-01	7.500000e-01	1.553702e+03	3.050175e+01	3.050175e+01
7.500000e-01	8.500000e-01	2.914975e+03	4.793664e+01	4.793664e+01
8.500000e-01	9.350000e-01	3.578561e+03	5.741150e+01	5.741150e+01
9.350000e-01	1.000000e+00	1.199385e+03	3.792412e+01	3.792412e+01
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d03-x01-y01
LineColor=orange
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d03-x01-y01
ScaledBy=6.78512794874849001e-02
Title=LEP/LOG
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.100000e-01	1.727121e+01	3.509686e+00	3.509686e+00
1.100000e-01	2.200000e-01	4.416475e+02	1.790087e+01	1.790087e+01
2.200000e-01	3.300000e-01	8.425300e+02	2.456489e+01	2.456489e+01
3.300000e-01	4.700000e-01	1.002233e+03	2.385679e+01	2.385679e+01
4.700000e-01	6.200000e-01	1.123640e+03	2.410665e+01	2.410665e+01
6.200000e-01	7.500000e-01	1.595439e+03	3.096920e+01	3.096920e+01
7.500000e-01	8.500000e-01	2.959322e+03	4.815333e+01	4.815333e+01
8.500000e-01	9.350000e-01	3.581799e+03	5.754861e+01	5.754861e+01
9.350000e-01	1.000000e+00	1.174375e+03	3.741631e+01	3.741631e+01
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d03-x01-y01
LineColor=lilac
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d03-x01-y01
ScaledBy=6.78432320651064236e-02
Title=No MPI
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.100000e-01	1.121601e+01	2.894522e+00	2.894522e+00
1.100000e-01	2.200000e-01	2.391026e+02	1.297944e+01	1.297944e+01
2.200000e-01	3.300000e-01	5.469038e+02	1.978634e+01	1.978634e+01
3.300000e-01	4.700000e-01	7.147650e+02	2.002121e+01	2.002121e+01
4.700000e-01	6.200000e-01	9.252140e+02	2.198630e+01	2.198630e+01
6.200000e-01	7.500000e-01	1.490652e+03	3.006414e+01	3.006414e+01
7.500000e-01	8.500000e-01	2.776112e+03	4.668011e+01	4.668011e+01
8.500000e-01	9.350000e-01	3.632161e+03	5.793435e+01	5.793435e+01
9.350000e-01	1.000000e+00	1.161567e+03	3.735171e+01	3.735171e+01
# END HISTO1D

